No.,施設所在地,施設方書,施設屋号,営業者名,営業所電話番号,許可番号,業種,初回許可日,許可開始日,許可満了日
1,東京都世田谷区若林一丁目２９番１２号,ＫＹフラット１Ｆ,ＭＡＮＺＯ,有限会社マンゾオフィス,03-5430-1084,8世保生食ほ第232号,飲食店営業,令和8年5月27日,令和8年5月27日,令和14年5月31日
2,東京都世田谷区若林二丁目４１番１号,-,ＣＲＡＺＹ　ＭＡＭＡ,***,03-5787-6614,8世保生食ほ第226号,飲食店営業,令和8年5月13日,令和8年5月13日,令和14年5月31日
3,東京都世田谷区世田谷三丁目１番３号,-,セキ　ハナレ,株式会社ソラトウミ,03-5450-5870,8世保生食ほ第171号,飲食店営業,令和8年5月13日,令和8年5月13日,令和14年5月31日
4,東京都世田谷区弦巻三丁目１６番８号,-,喫茶　レスト,株式会社世田谷サービス公社,3706-7275,7世保生食ほ第1775号,飲食店営業,令和8年5月1日,令和8年5月1日,令和15年4月30日
5,東京都世田谷区桜三丁目８番１５号,パール世田谷１０１,タナカロボ,***,-,8世保生食ほ第128号,飲食店営業,令和8年5月18日,令和8年5月18日,令和14年5月31日
6,東京都世田谷区桜三丁目２５番３号,-,インド料理　スパイス　マジック,有限会社ゴールデンテンプルトレーディング,03-5426-6955,8世保生食ほ第166号,飲食店営業,令和8年5月13日,令和8年5月13日,令和14年5月31日
7,東京都世田谷区経堂一丁目４１番２１号,らんぼりー経堂１Ｆ,ＤＯＧ　ＳＯＣＩＡＬＩＺＥ　ＣＡＦＥ,株式会社ＤＳＣ,-,8世保生食ほ第213号,飲食店営業,令和8年5月13日,令和8年5月13日,令和15年5月31日
8,東京都世田谷区経堂二丁目５番１７号,ＫＴビル,ジェスターズストア,有限会社ランビック,5799-7567,8世保生食ほ第10号,飲食店営業,令和8年5月1日,令和8年5月1日,令和14年4月30日
9,東京都世田谷区経堂二丁目１５番１５号,松原屋第３ビルＢ１－Ａ,アクア,***,5477-9933,7世保生食ほ第1960号,飲食店営業,令和8年5月1日,令和8年5月1日,令和14年4月30日
10,東京都世田谷区経堂四丁目６番８号,田島ビル１Ｆ,ＰＯＴＥ,***,3420-1233,7世保生食ほ第1932号,飲食店営業,令和8年5月1日,令和8年5月1日,令和15年4月30日
11,東京都世田谷区宮坂三丁目１番３１号,経堂テラスガーデン,メゾン・イチ,株式会社ブロードエッジ・アドバイザーズ,03-5799-7991,8世保生食ほ第311号,そうざい製造業,令和8年5月28日,令和8年5月28日,令和15年5月31日
12,東京都世田谷区宮坂三丁目１２番１６号,プリエロジマンＤ,ズルいキムチ,***,-,8世保生食ほ第264号,漬物製造業,令和8年5月19日,令和8年5月19日,令和14年5月31日
13,東京都世田谷区池尻二丁目１０番１０号,谷ビル１Ｆ,らんち屋,***,03-3424-8200,8世保生食ほ第221号,飲食店営業,令和8年5月18日,令和8年5月18日,令和14年5月31日
14,東京都世田谷区池尻二丁目２３番１１号,第一校舎３Ｆ,第一校舎３Ｆ調理実習室,学校法人　食糧学院,3424-9113,7世保生食ほ第1950号,飲食店営業,令和8年5月1日,令和8年5月1日,令和15年4月30日
15,東京都世田谷区池尻二丁目２３番１１号,第一校舎３Ｆ,第一校舎３Ｆ調理実習室,学校法人　食糧学院,3424-9113,7世保生食ほ第1951号,菓子製造業,令和8年5月1日,令和8年5月1日,令和15年4月30日
16,東京都世田谷区池尻二丁目２３番１１号,第三校舎１階,第三校舎　カフェ・ラターブル,学校法人　食糧学院,3424-9113,7世保生食ほ第1952号,飲食店営業,令和8年5月1日,令和8年5月1日,令和15年4月30日
17,東京都世田谷区池尻二丁目２３番１１号,本館Ｂ１階給食経営管理実習室,本館Ｂ１・給食経営管理実習室,学校法人　食糧学院,3424-9113,7世保生食ほ第1953号,飲食店営業,令和8年5月1日,令和8年5月1日,令和15年4月30日
18,東京都世田谷区池尻三丁目５番１３号,-,泉州会館テスティパル事業所,株式会社テスティパル,3412-2520,7世保生食ほ第1964号,飲食店営業,令和8年5月1日,令和8年5月1日,令和15年4月30日
19,東京都世田谷区池尻三丁目２３番１号,池尻大橋ＳＱＵＡＲＥ１階,ｋｏｍｐａｋｔ　Ｒｅｃｏｒｄ　Ｂａｒ,株式会社ＳＫＯ　ＥＸＴＥＤＩＴ,-,8世保生食ほ第140号,飲食店営業,令和8年5月11日,令和8年5月11日,令和14年5月31日
20,東京都世田谷区三宿二丁目３６番１１号,アネックスマツモト１階,ＬＵＣＫ,８３４１株式会社,-,8世保生食ほ第127号,飲食店営業,令和8年5月1日,令和8年5月1日,令和14年4月30日
21,東京都世田谷区下馬一丁目１７番８号,-,はがくれ,***,3424-9195,8世保生食ほ第278号,飲食店営業,令和8年5月28日,令和8年5月28日,令和14年5月31日
22,東京都世田谷区下馬一丁目１９番４号,ａＬａｔｏ祐天寺ＡＮＮＥＸ,ＰＯＰＰＹ　ＷＩＮＥ,合同会社ＯＣＩ,-,8世保生食ほ第207号,飲食店営業,令和8年5月27日,令和8年5月27日,令和15年5月31日
23,東京都世田谷区下馬六丁目１５番３号,Ｂａｒｋ　Ｌａｎｅ　学芸大学　１Ｆ店舗,エメル,***,-,8世保生食ほ第281号,菓子製造業,令和8年5月25日,令和8年5月25日,令和15年5月31日
24,東京都世田谷区太子堂二丁目４番１９号,-,ＣＡＦＥ　ＣＩＲＣＯＬＯ　自家焙煎珈琲,***,5431-1284,7世保生食ほ第1910号,飲食店営業,令和8年5月1日,令和8年5月1日,令和15年4月30日
25,東京都世田谷区太子堂二丁目２４番６号,ドミー三軒茶屋Ｂ１,ゆいまーる食堂　三軒茶屋店,株式会社琉球スタイル,6453-2131,8世保生食ほ第15号,飲食店営業,令和8年5月1日,令和8年5月1日,令和14年4月30日
26,東京都世田谷区太子堂四丁目５番１号,ＣＯＣＯＳＰＡＣＥ５階,ＢＡＲＤ,合同会社ＫＡＤＡ,-,8世保生食ほ第201号,飲食店営業,令和8年5月7日,令和8年5月7日,令和14年5月31日
27,東京都世田谷区太子堂四丁目２０番４号,-,新ＳＵＮ　三軒茶屋店,株式会社ＵＮＢＡＲ,03-5432-9107,7世保生食ほ第1911号,菓子製造業,令和8年5月1日,令和8年5月1日,令和15年4月30日
28,東京都世田谷区太子堂四丁目２０番４号,-,新ＳＵＮ　三軒茶屋店,株式会社ＵＮＢＡＲ,03-5432-9107,7世保生食ほ第1912号,飲食店営業,令和8年5月1日,令和8年5月1日,令和15年4月30日
29,東京都世田谷区太子堂四丁目２２番５号,ホームズ三軒茶屋駅前ビル地下１階,満天酒場　三軒茶屋店,株式会社大庄,03-5486-6221,7世保生食ほ第1983号,飲食店営業,令和8年5月1日,令和8年5月1日,令和15年4月30日
30,東京都世田谷区太子堂四丁目２２番１２号,Ｙビル１Ｆ,三茶栄鮨,***,3412-4649,7世保生食ほ第1890号,飲食店営業,令和8年5月1日,令和8年5月1日,令和14年4月30日
31,東京都世田谷区太子堂四丁目２３番７号,味とめビル３０１・３０２,モリッシーん家,合同会社ＴＲＵＮＫ　ＯＵＴ,03-5787-6187,8世保生食ほ第132号,飲食店営業,令和8年5月1日,令和8年5月1日,令和15年4月30日
32,東京都世田谷区太子堂四丁目２３番７号,味とめビル２Ｆ,Ｃｏｍｏ　Ｄｏｃｋ,株式会社コモード,03-6804-0229,7世保生食ほ第1945号,飲食店営業,令和8年5月1日,令和8年5月1日,令和15年4月30日
33,東京都世田谷区太子堂四丁目２５番１４号,ホワイトビル２階,ＳＬＯＰＰＹ　ＪＯＥ’Ｓ　Ｂａｒ＆Ｄｉｎｅｒ,合同会社Ｔｈｒｅｅ　Ａｒｒｏｗｓ,03-6450-8471,7世保生食ほ第1904号,飲食店営業,令和8年5月1日,令和8年5月1日,令和15年4月30日
34,東京都世田谷区三軒茶屋一丁目７番１２号,-,Ｂｒｉｃｃａ,株式会社Ｂｒｉｃｃａ,6322-0256,8世保生食ほ第269号,そうざい製造業,令和8年5月22日,令和8年5月22日,令和14年5月31日
