No.,施設所在地,施設方書,施設屋号,営業者名,営業所電話番号,許可番号,業種,初回許可日,許可開始日,許可満了日
35,東京都世田谷区三軒茶屋一丁目７番１２号,-,目黒五十番,株式会社五十番,03-5486-3755,8世保生食ほ第100号,飲食店営業,令和8年5月1日,令和8年5月1日,令和15年4月30日
36,東京都世田谷区三軒茶屋一丁目７番１２号,-,野菜パンこう房　きしん（ＫＯＢＯ　ＫＩＳＨＩＮ）,***,03-06450-8850,8世保生食ほ第328号,飲食店営業,令和8年5月29日,令和8年5月29日,令和15年5月31日
37,東京都世田谷区三軒茶屋一丁目７番１２号,-,野菜パンこう房　きしん（ＫＯＢＯ　ＫＩＳＨＩＮ）,***,03-06450-8850,8世保生食ほ第329号,菓子製造業,令和8年5月29日,令和8年5月29日,令和15年5月31日
38,東京都世田谷区三軒茶屋一丁目３３番２１号,森本ビル３Ｆ,デシネ・ショップ,株式会社デシネ,6877-1245,8世保生食ほ第11号,飲食店営業,令和8年5月1日,令和8年5月1日,令和14年4月30日
39,東京都世田谷区三軒茶屋一丁目３４番１１号,１０１ハギワラビル１階,お山のすぎの子,有限会社味の大邦,5486-0094,7世保生食ほ第1930号,飲食店営業,令和8年5月1日,令和8年5月1日,令和15年4月30日
40,東京都世田谷区三軒茶屋一丁目３５番２１号,第二通南ビル,キッチンオリジン　三軒茶屋店,オリジン東秀株式会社,03-3412-5927,7世保生食ほ第1919号,飲食店営業,令和8年5月1日,令和8年5月1日,令和15年4月30日
41,東京都世田谷区三軒茶屋一丁目３７番３号,第２山本ビル２階,鳥貴族　三軒茶屋店,株式会社鳥貴族東日本,03-5787-5333,8世保生食ほ第160号,飲食店営業,令和8年5月13日,令和8年5月13日,令和15年5月31日
42,東京都世田谷区三軒茶屋一丁目３７番１３号,オアシス三軒茶屋ビル１Ｆ,上島珈琲店,ユーシーシーフードサービスシステムズ株式会社,5433-4505,8世保生食ほ第308号,飲食店営業,令和8年5月26日,令和8年5月26日,令和14年5月31日
43,東京都世田谷区三軒茶屋一丁目３９番７号,-,銀座アスター三軒茶屋賓館,銀座アスター食品株式会社,0334183421,8世保生食ほ第60号,飲食店営業,令和8年5月1日,令和8年5月1日,令和15年4月30日
44,東京都世田谷区三軒茶屋二丁目９番１３号,-,ＭＯＧＵ,株式会社祐貴那,03-6453-2929,7世保生食ほ第1980号,飲食店営業,令和8年5月1日,令和8年5月1日,令和14年4月30日
45,東京都世田谷区三軒茶屋二丁目１３番６号,-,ＶＩＰ．,***,03-3422-9920,7世保生食ほ第1917号,飲食店営業,令和8年5月1日,令和8年5月1日,令和14年4月30日
46,東京都世田谷区三軒茶屋二丁目１３番１８号,-,サニー,株式会社ＤｅＧｅ,3410-9632,8世保生食ほ第106号,飲食店営業,令和8年5月14日,令和8年5月14日,令和14年5月31日
47,東京都世田谷区三軒茶屋二丁目１４番１２号,三元ビル３０２,Ｐｌａｙｅｒ’ｓ　ＢＡＲ　Ｐｏｉｎｔｂｒｅａｋ,***,03-5787-5497,8世保生食ほ第204号,飲食店営業,令和8年5月14日,令和8年5月14日,令和14年5月31日
48,東京都世田谷区三軒茶屋二丁目１５番１４号,ＡＢＣビル１階　１０９,和食　ごしき,株式会社けむり,03-3795-5300,8世保生食ほ第129号,飲食店営業,令和8年5月14日,令和8年5月14日,令和14年5月31日
49,東京都世田谷区上馬一丁目１５番４号,-,Ｓ．Ｓ．Ｗ,合同会社ＲｅＨＡＢ,-,7世保生食ほ第1270号,菓子製造業,令和8年5月1日,令和8年5月1日,令和15年4月30日
50,東京都世田谷区上馬二丁目２６番２０号,-,株式会社マルエツ中里店,株式会社マルエツ,03-3418-3161,7世保生食ほ第1900号,食肉販売業,令和8年5月1日,令和8年5月1日,令和15年4月30日
51,東京都世田谷区上馬四丁目６番７号,-,セブン・イレブン駒沢病院前店,***,3410-0190,7世保生食ほ第1954号,飲食店営業,令和8年5月1日,令和8年5月1日,令和14年4月30日
52,東京都世田谷区上馬五丁目３８番１０号,キリンビル　Ｂ１,Ｌａ　ｌｕｎａ　ｌｌｅｎａ（ラ　ルナ　ジェナ）,***,3411-7714,7世保生食ほ第1935号,飲食店営業,令和8年5月1日,令和8年5月1日,令和14年4月30日
53,東京都世田谷区駒沢二丁目１番３号,伊東ビル２Ｆ,駒沢よし鳥,株式会社ＹＯＳＨＩＣＨＯ,03-5486-8489,7世保生食ほ第1845号,飲食店営業,令和8年5月1日,令和8年5月1日,令和14年4月30日
54,東京都世田谷区深沢五丁目１番１５号,パラダイスマンション１階,㈲たまや,有限会社たまや,3701-1684,8世保生食ほ第3号,飲食店営業,令和8年5月1日,令和8年5月1日,令和15年4月30日
55,東京都世田谷区深沢五丁目１番１５号,パラダイスマンション１階,㈲たまや,有限会社たまや,3701-1684,8世保生食ほ第4号,食肉販売業,令和8年5月1日,令和8年5月1日,令和15年4月30日
56,東京都世田谷区深沢五丁目３番１３号,プリズム深沢　１０２,ｈüｒｕｕｎ,合同会社ｋｉｔｏ,-,8世保生食ほ第143号,飲食店営業,令和8年5月13日,令和8年5月13日,令和14年5月31日
57,東京都世田谷区桜新町二丁目１７番１５号,サクラビル１ＦＡ,いなせや　桜新町店,株式会社ＮＯＲＲＹ’Ｓ,03-5799-4218,7世保生食ほ第1971号,飲食店営業,令和8年5月1日,令和8年5月1日,令和15年4月30日
58,東京都世田谷区用賀二丁目３８番１３号,-,れんげ食堂Ｔｏｓｈｕ　用賀店,オリジン東秀株式会社,03-3700-7925,8世保生食ほ第141号,飲食店営業,令和8年5月12日,令和8年5月12日,令和15年5月31日
59,東京都世田谷区用賀四丁目１２番５号,メゾンド　リベルテ１０１,スナック　シンズ,***,3708-2650,8世保生食ほ第273号,飲食店営業,令和8年5月28日,令和8年5月28日,令和14年5月31日
60,東京都世田谷区玉川四丁目５番６号,オジマビル１Ｆ,Ｅｃｈｏ,***,-,8世保生食ほ第267号,飲食店営業,令和8年5月21日,令和8年5月21日,令和15年5月31日
61,東京都世田谷区野毛一丁目１７番１１号,等々力溪谷スカイマンションＢ１,リストランテ　ＯＴＴＯ,株式会社菅野秀治企画,3704-3778,8世保生食ほ第5号,飲食店営業,令和8年5月1日,令和8年5月1日,令和15年4月30日
62,東京都世田谷区等々力二丁目３２番１１号,-,ポピー,***,3704-4998,7世保生食ほ第1989号,飲食店営業,令和8年5月1日,令和8年5月1日,令和14年4月30日
63,東京都世田谷区等々力三丁目１８番６号,-,ピザ・セカンドハウス,***,3701-9289,8世保生食ほ第18号,飲食店営業,令和8年5月1日,令和8年5月1日,令和14年4月30日
64,東京都世田谷区尾山台三丁目１０番１０号,-,わいわい,***,03-3704-6241,7世保生食ほ第1908号,飲食店営業,令和8年5月1日,令和8年5月1日,令和14年4月30日
65,東京都世田谷区玉堤一丁目２９番１２号,１Ｆ,有限会社　たまき,有限会社たまき,3701-8708,7世保生食ほ第1870号,飲食店営業,令和8年5月1日,令和8年5月1日,令和15年4月30日
66,東京都世田谷区奥沢四丁目２７番１２号,パトラ奥沢Ｂ１,カフェダイニング　ｌｉｔｔｌｅ＿ｍｏｕｓｅ,***,-,7世保生食ほ第1979号,飲食店営業,令和8年5月1日,令和8年5月1日,令和14年4月30日
67,東京都世田谷区奥沢八丁目３２番１１号,-,合資会社　有楽庵,合資会社　有楽庵,03-3703-3655,7世保生食ほ第1841号,飲食店営業,令和8年5月1日,令和8年5月1日,令和15年4月30日
68,東京都世田谷区北沢一丁目３３番１５号,-,喜家・手作り惣菜・弁当,***,03-5454-9754,8世保生食ほ第23号,飲食店営業,令和8年5月1日,令和8年5月1日,令和15年4月30日
69,東京都世田谷区北沢一丁目４５番１５号,すずなり横丁,りえ,***,-,8世保生食ほ第41号,飲食店営業,令和8年5月1日,令和8年5月1日,令和14年4月30日
70,東京都世田谷区北沢二丁目２番３号,１Ｆ,織部　下北沢店,株式会社織部,5432-9068,7世保生食ほ第1920号,飲食店営業,令和8年5月1日,令和8年5月1日,令和14年4月30日
71,東京都世田谷区北沢二丁目１１番１７号,佐藤店舗１階,ＢＯＯＫＥＮＤＳ,***,03-3411-8885,8世保生食ほ第69号,飲食店営業,令和8年5月1日,令和8年5月1日,令和14年4月30日
72,東京都世田谷区北沢二丁目１４番２号,Ｊｏｗ３ビルＢ１,ＬＩＶＥ　ＨＡＵＳ,株式会社ＭＳ＆Ｉ,-,8世保生食ほ第58号,飲食店営業,令和8年5月1日,令和8年5月1日,令和14年4月30日
73,東京都世田谷区北沢二丁目１４番３号,喜多ビル１階,チャッチャ亭　下北沢店,株式会社チームスタンダード,-,8世保生食ほ第159号,飲食店営業,令和8年5月1日,令和8年5月1日,令和15年4月30日
74,東京都世田谷区北沢二丁目１４番６号,イエローボックス２Ｆ,黒川食堂,株式会社エヌイーオー,6450-8137,8世保生食ほ第174号,飲食店営業,令和8年5月1日,令和8年5月1日,令和14年4月30日
75,東京都世田谷区北沢二丁目１９番１５号,平和ビル４Ｆ,Ｂａｒｒａｃｋ　Ｂｌｏｃｋ　Ｃａｆｅ,***,03-5432-9684,7世保生食ほ第1972号,飲食店営業,令和8年5月1日,令和8年5月1日,令和14年4月30日
76,東京都世田谷区北沢二丁目２７番１０号,クルス下北沢ビル１階,佐助,株式会社レゴリス,03-5790-9790,8世保生食ほ第178号,水産製品製造業,令和8年5月1日,令和8年5月1日,令和15年4月30日
77,東京都世田谷区北沢二丁目２９番１６号,マガザン下北沢Ｂ１,元祖肉油堂　ＵＭＡＭＩ,***,03-6804-8640,8世保生食ほ第268号,飲食店営業,令和8年5月25日,令和8年5月25日,令和15年5月31日
78,東京都世田谷区北沢二丁目３３番８号,第２片柳ビル１Ｆ,ＨＯＬＬＹ,***,3466-1484,8世保生食ほ第21号,飲食店営業,令和8年5月1日,令和8年5月1日,令和14年4月30日
79,東京都世田谷区北沢二丁目４０番１５号,芦田ビル１Ｆ,Ｂａｒ　ｌｏａｄｅｄ,***,6663-8844,8世保生食ほ第26号,飲食店営業,令和8年5月1日,令和8年5月1日,令和14年4月30日
80,東京都世田谷区北沢三丁目２番１０号,Ｂ１,てっちょこ,伊與久食房株式会社,03-3466-0551,8世保生食ほ第282号,そうざい製造業,令和8年5月27日,令和8年5月27日,令和15年5月31日
81,東京都世田谷区北沢三丁目１９番３号,岩野ハイツ２Ｆ,Ｎｅｖｅｒ　Ｎｅｖｅｒ　Ｌａｎｄ,***,3465-0737,8世保生食ほ第115号,飲食店営業,令和8年5月1日,令和8年5月1日,令和14年4月30日
82,東京都世田谷区北沢三丁目１９番２０号,ｒｅｌｏａｄ１－７区画,ｒｅｌｏａｄ　ＰＯＰＵＰ　ＳＰＡＣＥ　１－７,株式会社ＧＲＥＥＮＩＮＧ,-,8世保生食ほ第250号,飲食店営業,令和8年5月26日,令和8年5月26日,令和15年5月31日
83,東京都世田谷区北沢三丁目１９番２０号,ｒｅｌｏａｄ２－３区画,ｒｅｌｏａｄ　ＰＯＰＵＰ　ＳＰＡＣＥ　２－３,株式会社ＧＲＥＥＮＩＮＧ,-,8世保生食ほ第251号,飲食店営業,令和8年5月26日,令和8年5月26日,令和15年5月31日
84,東京都世田谷区北沢三丁目２５番１号,ＭＴビル４Ｆ,ｓｎａｃｋ　Ｕｍｉ,***,-,8世保生食ほ第122号,飲食店営業,令和8年5月11日,令和8年5月11日,令和15年5月31日
85,東京都世田谷区代沢五丁目３０番３号,川上ビル１０１,キッチン　たくあん,***,3795-3795,8世保生食ほ第8号,飲食店営業,令和8年5月1日,令和8年5月1日,令和14年4月30日
86,東京都世田谷区代沢五丁目３２番７号,小林ビル２階,ＴｅＮＭｉ　,ｒａｄｉａｎｔ＆ｊｕｓｔｉｃｅ株式会社,-,8世保生食ほ第321号,飲食店営業,令和8年5月25日,令和8年5月25日,令和14年5月31日
87,東京都世田谷区代田二丁目３６番１４号,ボーナストラックｓｏｈｏ４,ＡＤＤＡ,***,-,8世保生食ほ第272号,飲食店営業,令和8年5月21日,令和8年5月21日,令和14年5月31日
88,東京都世田谷区代田五丁目１０番１１号,-,ストーリーのある本屋,***,-,8世保生食ほ第242号,飲食店営業,令和8年5月13日,令和8年5月13日,令和14年5月31日
89,東京都世田谷区代田六丁目３番１号,リバブル下北沢Ｂ１Ｆ,ヴィレッジヴァンガード　ダイナー下北沢店,エステールホールディングス株式会社,03-3481-5620,8世保生食ほ第82号,飲食店営業,令和8年5月1日,令和8年5月1日,令和15年4月30日
90,東京都世田谷区代田六丁目３番２６号,-,尚点,株式会社湘美,-,7世保生食ほ第1844号,飲食店営業,令和8年5月1日,令和8年5月1日,令和14年4月30日
91,東京都世田谷区代田六丁目６番１号,ＴＯＫＹＵＲＥＩＴ下北沢スクエア４階,ｃｏｅｎ　ｃａｆｅ月日／ｃｏｅｎ　ｂａｒえん川,株式会社Ｐａｒｔｙ,-,8世保生食ほ第200号,飲食店営業,令和8年5月8日,令和8年5月8日,令和14年5月31日
92,東京都世田谷区豪徳寺一丁目２２番１４号,-,ソラナカ,***,03-5477-6558,7世保生食ほ第1984号,飲食店営業,令和8年5月1日,令和8年5月1日,令和14年4月30日
93,東京都世田谷区豪徳寺一丁目２３番１８号,-,肉のおがわ,有限会社まるとし商店,3425-0298,7世保生食ほ第1962号,飲食店営業,令和8年5月1日,令和8年5月1日,令和14年4月30日
94,東京都世田谷区豪徳寺一丁目２３番１８号,-,肉のおがわ,有限会社まるとし商店,3425-0298,7世保生食ほ第1963号,食肉販売業,令和8年5月1日,令和8年5月1日,令和14年4月30日
95,東京都世田谷区豪徳寺一丁目２３番２１号,ハイムアペル３　１０１,ＥＱＵＡＬＬＹ　ａｔｅｌｉｅｒ　ＮＯＬＥ,株式会社ＥＱＮＯＴＡ,-,8世保生食ほ第211号,菓子製造業,令和8年5月13日,令和8年5月13日,令和15年5月31日
96,東京都世田谷区豪徳寺一丁目２３番２１号,ハイムアペル３　１０１,ＥＱＵＡＬＬＹ　ａｔｅｌｉｅｒ　ＮＯＬＥ,株式会社ＥＱＮＯＴＡ,-,8世保生食ほ第212号,アイスクリーム類製造業,令和8年5月13日,令和8年5月13日,令和15年5月31日
97,東京都世田谷区豪徳寺一丁目３８番９号,大町ビル２Ｆ,ｎｅｕ,株式会社ｎｅｕ,03-6413-9322,8世保生食ほ第175号,飲食店営業,令和8年5月1日,令和8年5月1日,令和14年4月30日
98,東京都世田谷区豪徳寺一丁目４３番１号,-,とんかつ　国一,***,03-3429-4102,7世保生食ほ第1864号,飲食店営業,令和8年5月1日,令和8年5月1日,令和15年4月30日
99,東京都世田谷区松原一丁目３２番１１号,-,くろかん,株式会社くろかん,03-6379-3033,7世保生食ほ第1978号,飲食店営業,令和8年5月1日,令和8年5月1日,令和14年4月30日
100,東京都世田谷区桜上水四丁目１５番１６号,１Ｆ,近江熟成醤油ラーメン　十二分屋　桜上水店,ＫＨＡＮＡＬ合同会社,03-5357-8413,8世保生食ほ第224号,飲食店営業,令和8年5月11日,令和8年5月11日,令和15年5月31日
101,東京都世田谷区祖師谷三丁目３６番２４号,-,チャイニーズレストラン欣喜,合同会社　アオキ,6411-3458,8世保生食ほ第84号,飲食店営業,令和8年5月1日,令和8年5月1日,令和15年4月30日
102,東京都世田谷区祖師谷四丁目２５番１９号,Ｂ１,パブハウス・ちとせ,***,03-3484-4174,7世保生食ほ第1982号,飲食店営業,令和8年5月1日,令和8年5月1日,令和14年4月30日
103,東京都世田谷区喜多見九丁目２番１８号,城和ハイツＢ１,居酒屋　梅丸,***,3480-8069,7世保生食ほ第1990号,飲食店営業,令和8年5月1日,令和8年5月1日,令和14年4月30日
104,東京都世田谷区喜多見九丁目３番５号,フローラル１０６,ほしの　ｓｕｓｈｉ　Ｄｉｎｎｉｎｇ,***,3430-7627,7世保生食ほ第1853号,飲食店営業,令和8年5月1日,令和8年5月1日,令和14年4月30日
105,東京都世田谷区砧一丁目１３番３号,-,ヴォアラ,***,3415-9098,8世保生食ほ第27号,菓子製造業,令和8年5月1日,令和8年5月1日,令和15年4月30日
106,東京都世田谷区砧五丁目１番１号,ベルビュー成城１１１,魚久,***,-,8世保生食ほ第50号,飲食店営業,令和8年5月1日,令和8年5月1日,令和14年4月30日
107,東京都世田谷区砧六丁目３６番６号,ＦＬＡＰビル１階Ｃ号室,新潟雪国ラーメン　なおじ　祖師ヶ谷大蔵店,株式会社エトワ,-,8世保生食ほ第286号,飲食店営業,令和8年5月29日,令和8年5月29日,令和14年5月31日
108,東京都世田谷区鎌田四丁目１４番８号,-,麺場　田所商店　世田谷多摩堤通り店,株式会社トライ・インターナショナル,-,8世保生食ほ第298号,飲食店営業,令和8年5月29日,令和8年5月29日,令和15年5月31日
109,東京都世田谷区粕谷一丁目１５番６号,-,Ｐｒａｚｅｒ,株式会社マービィ,5316-6618,7世保生食ほ第1889号,飲食店営業,令和8年5月1日,令和8年5月1日,令和14年4月30日
110,東京都世田谷区粕谷四丁目１５番６号,グランデュール千歳烏山１Ｆ,ラ・ヴィエイユ・フランス,株式会社　ビュッシー,5314-3530,8世保生食ほ第294号,アイスクリーム類製造業,令和8年5月26日,令和8年5月26日,令和15年5月31日
111,東京都世田谷区南烏山五丁目３２番１８号,Ｂｕｒｅｓｓａ　Ａｒｉｙａ１階,ベッカライ　徳多朗　千歳烏山店,株式会社ニッチ,-,8世保生食ほ第179号,飲食店営業,令和8年5月8日,令和8年5月8日,令和15年5月31日
112,東京都世田谷区南烏山六丁目３番１５号,-,ジェノワーズ　烏山店,有限会社フードサプライズ,03-3309-5732,7世保生食ほ第1958号,飲食店営業,令和8年5月1日,令和8年5月1日,令和14年4月30日
113,東京都世田谷区南烏山六丁目３番１６号,ダイヤビル１Ｆ,丸亀製麺千歳烏山,株式会社丸亀製麺,-,8世保生食ほ第331号,飲食店営業,令和8年5月26日,令和8年5月26日,令和15年5月31日
114,東京都世田谷区南烏山六丁目２８番１３号,シオンミナミ１Ｆ,パティスリー　ユウ　ササゲ,株式会社ササジュ,5315-9090,8世保生食ほ第156号,菓子製造業,令和8年5月1日,令和8年5月1日,令和15年4月30日
115,東京都世田谷区南烏山六丁目２９番８号,朝倉ビル１０２,スナック　よりみち,***,03-6279-5830,7世保生食ほ第1940号,飲食店営業,令和8年5月1日,令和8年5月1日,令和14年4月30日
116,東京都世田谷区上祖師谷二丁目１番１０号,ガーデン・ヴィラ１０１号,Ｃａｆｆｅ．Ｔｅｒｒａｃｅ　ＨＡＲＵ　ＨＡＲＵ,***,-,8世保生食ほ第25号,飲食店営業,令和8年5月1日,令和8年5月1日,令和15年4月30日
117,東京都世田谷区上祖師谷四丁目６番７号,-,ミニストップ成城通店,ミニストップ株式会社,03-3309-8978,8世保生食ほ第255号,飲食店営業,令和8年5月22日,令和8年5月22日,令和15年5月31日
