No.,施設所在地,施設方書,施設屋号,営業者名,営業所電話番号,許可番号,業種,初回許可日,許可開始日,許可満了日
1,東京都世田谷区若林一丁目２６番８号,-,ファミリーマート世田谷若林一丁目店,ベネレイト株式会社,03-5779-4622,8世保生食ほ第395号,飲食店営業,令和8年6月8日,令和8年6月8日,令和15年6月30日
2,東京都世田谷区若林四丁目１番５号,-,トップ　若林店,株式会社トップ,03-3412-5121,8世保生食ほ第517号,飲食店営業,令和8年6月29日,令和8年6月29日,令和15年6月30日
3,東京都世田谷区若林四丁目２０番７号,タイガープラザ地下１階,ＴＩＫＡ,株式会社ＳＡＫＩＹＡ,03-6804-0604,8世保生食ほ第468号,飲食店営業,令和8年6月26日,令和8年6月26日,令和15年6月30日
4,東京都世田谷区若林五丁目１６番１３号,-,魚がし　角金,***,3422-1987,8世保生食ほ第332号,飲食店営業,令和8年6月5日,令和8年6月5日,令和14年6月30日
5,東京都世田谷区世田谷一丁目１７番４号,箕輪店舗１Ｆ,豆／とう,***,-,8世保生食ほ第407号,飲食店営業,令和8年6月16日,令和8年6月16日,令和14年6月30日
6,東京都世田谷区世田谷一丁目２８番１３号,-,魚丼世田谷店,桜人材株式会社,03-6821-1973,8世保生食ほ第417号,飲食店営業,令和8年6月19日,令和8年6月19日,令和14年6月30日
7,東京都世田谷区世田谷二丁目６番１号,かつ善ビル１Ｆ,ＩＣＩＥＩ,***,-,7世保生食ほ第1580号,飲食店営業,令和8年6月26日,令和8年6月26日,令和14年6月30日
8,東京都世田谷区世田谷三丁目１６番１８号,シティーハイツオオミ１０２,浜松琉一番餃子,合同会社　ウエルネスシルクロード,-,8世保生食ほ第243号,飲食店営業,令和8年6月8日,令和8年6月8日,令和14年6月30日
9,東京都世田谷区弦巻二丁目１１番１号,-,トラストガーデン　桜新町,株式会社ＬＥＯＣ,3425-7553,8世保生食ほ第339号,飲食店営業,令和8年6月23日,令和8年6月23日,令和15年6月30日
10,東京都世田谷区桜丘二丁目２４番２０号,-,ジンギスバル　まーさん,ＭＡＳＡエンタープライズ株式会社,03-5450-4030,8世保生食ほ第422号,飲食店営業,令和8年6月26日,令和8年6月26日,令和14年6月30日
11,東京都世田谷区経堂一丁目２１番１６号,１Ｆ,ＴＯＫＩＳＥＶＥＮＴＥＡ・ＴＯＫＩ手作　経堂店,株式会社四葉商事,-,8世保生食ほ第499号,飲食店営業,令和8年6月25日,令和8年6月25日,令和14年6月30日
12,東京都世田谷区経堂一丁目２２番１４号,-,もっこす,***,03-3427-6385,8世保生食ほ第217号,飲食店営業,令和8年6月1日,令和8年6月1日,令和14年5月31日
13,東京都世田谷区経堂二丁目３番７号,-,鳥幸,***,3429-8595,8世保生食ほ第155号,飲食店営業,令和8年6月1日,令和8年6月1日,令和14年5月31日
14,東京都世田谷区経堂二丁目１０番１０号,ＭＫメゾン１０３,バーミモザ　セタガヤ,***,03-6413-9154,8世保生食ほ第401号,飲食店営業,令和8年6月19日,令和8年6月19日,令和14年6月30日
15,東京都世田谷区経堂二丁目２７番１８号,ＪＰ世田谷経堂ビル３Ｄ,たちのみ　リオネル・グワッシ,***,-,8世保生食ほ第214号,飲食店営業,令和8年6月1日,令和8年6月1日,令和14年5月31日
16,東京都世田谷区経堂三丁目２０番２２号,１Ｆ,アリスタージュ経堂　ダイニング,京王ウェルシィステージ株式会社,03-6413-6111,8世保生食ほ第239号,飲食店営業,令和8年6月1日,令和8年6月1日,令和15年5月31日
17,東京都世田谷区経堂三丁目２０番２２号,１Ｆ,アリスタージュ経堂　ロビーラウンジ,京王ウェルシィステージ株式会社,6413-6111,8世保生食ほ第238号,飲食店営業,令和8年6月1日,令和8年6月1日,令和15年5月31日
18,東京都世田谷区経堂四丁目６番４号,-,焼肉やっぱ。セントラルキッチン,株式会社Ｙａｐｐａ,-,8世保生食ほ第314号,食肉販売業,令和8年6月9日,令和8年6月9日,令和14年6月30日
19,東京都世田谷区経堂四丁目６番４号,-,焼肉やっぱ。セントラルキッチン,株式会社Ｙａｐｐａ,-,8世保生食ほ第398号,そうざい製造業,令和8年6月9日,令和8年6月9日,令和14年6月30日
20,東京都世田谷区池尻二丁目２０番８号,-,やきとり　基久屋,***,3410-5929,8世保生食ほ第180号,飲食店営業,令和8年6月1日,令和8年6月1日,令和14年5月31日
21,東京都世田谷区三宿二丁目１１番３３号,１Ｆ,ｃａｍｉｎｏ,***,3487-0694,8世保生食ほ第124号,飲食店営業,令和8年6月1日,令和8年6月1日,令和14年5月31日
22,東京都世田谷区太子堂二丁目３５番６号,１Ｆ左,カフェ　下ノ谷,***,-,8世保生食ほ第293号,飲食店営業,令和8年6月1日,令和8年6月1日,令和14年5月31日
23,東京都世田谷区太子堂四丁目１８番１５号,マガザン三軒茶屋２　２０１,ＳＩＧＮＡＬ,株式会社ｇｒｏｓｓｏ　,-,8世保生食ほ第412号,飲食店営業,令和8年6月18日,令和8年6月18日,令和14年6月30日
24,東京都世田谷区太子堂四丁目２２番１４号,香田ビル２Ｆ,ポンド,***,03-3412-4242,8世保生食ほ第253号,飲食店営業,令和8年6月1日,令和8年6月1日,令和14年5月31日
25,東京都世田谷区太子堂五丁目１５番１１号,ケーテー三軒茶屋３Ｆ,天狗食堂,***,-,8世保生食ほ第368号,飲食店営業,令和8年6月1日,令和8年6月1日,令和14年5月31日
