No.,施設所在地,施設方書,施設屋号,営業者名,営業所電話番号,許可番号,業種,初回許可日,許可開始日,許可満了日
26,東京都世田谷区三軒茶屋一丁目３５番４号,ファインロゼ１Ｆ,ザ　ケンタローネ,***,-,8世保生食ほ第408号,飲食店営業,令和8年6月11日,令和8年6月11日,令和14年6月30日
27,東京都世田谷区三軒茶屋一丁目３６番２号,プリンセスライン三軒茶屋１Ｂ,三軒茶屋焼肉ホルモン寅屋,株式会社Ｍｏｕｎｔａｉｎ　Ｂｕｌｌ,03-6805-4680,8世保生食ほ第423号,飲食店営業,令和8年6月15日,令和8年6月15日,令和15年6月30日
28,東京都世田谷区三軒茶屋一丁目３７番８号,Ｂ１,壱語屋,株式会社壱語屋,3422-7177,8世保生食ほ第389号,飲食店営業,令和8年6月11日,令和8年6月11日,令和14年6月30日
29,東京都世田谷区三軒茶屋一丁目３８番８号,ステーションプラザロイヤル２Ｆ,コメダ珈琲　三軒茶屋店,株式会社ヤタ企画,6450-8923,8世保生食ほ第363号,飲食店営業,令和8年6月11日,令和8年6月11日,令和15年6月30日
30,東京都世田谷区三軒茶屋二丁目９番１６号,鈴木ビル２階,Ｋａｒａｏｋｅ　Ｂａｒ　Ｃｒｏｓｓ　ＳＡＮＧＥＮＪＡＹＡ,***,-,8世保生食ほ第500号,飲食店営業,令和8年6月26日,令和8年6月26日,令和14年6月30日
31,東京都世田谷区三軒茶屋二丁目１３番１０号,-,Ｘａｎａｄｕ,株式会社Ｎａｒｃｉｓｓｉｓｔ,03-5432-9333,8世保生食ほ第330号,飲食店営業,令和8年6月1日,令和8年6月1日,令和14年5月31日
32,東京都世田谷区三軒茶屋二丁目１３番１４号,３Ｆ,ビッグエコー　三軒茶屋駅前店,株式会社第一興商,5712-3252,8世保生食ほ第381号,飲食店営業,令和8年6月11日,令和8年6月11日,令和15年6月30日
33,東京都世田谷区上馬一丁目３３番１０号,-,鮨つね,株式会社ＴＮ５,5787-6535,8世保生食ほ第343号,飲食店営業,令和8年6月17日,令和8年6月17日,令和14年6月30日
34,東京都世田谷区上馬四丁目４番２号,サニービル１Ｆ,みんなの駒沢屋,株式会社パワー・ボム,03-5433-2030,8世保生食ほ第391号,飲食店営業,令和8年6月10日,令和8年6月10日,令和14年6月30日
35,東京都世田谷区上馬四丁目１１番２５号,Ｋ＆Ｆ駒沢１Ｆ,呑拠のっぴき,***,-,8世保生食ほ第364号,飲食店営業,令和8年6月10日,令和8年6月10日,令和14年6月30日
36,東京都世田谷区駒沢一丁目１７番１７号,-,ローソン駒沢一丁目店,株式会社ＯＨＡＮＡ,3413-0563,8世保生食ほ第203号,飲食店営業,令和8年6月1日,令和8年6月1日,令和15年5月31日
37,東京都世田谷区駒沢三丁目５番１２号,駒沢３丁目　１Ｆ　Ｎｏｒｔｈ,Ｎｅｉｇｈｂｏｕｒ　Ｊｕｉｃｅ,***,-,8世保生食ほ第373号,飲食店営業,令和8年6月2日,令和8年6月2日,令和14年6月30日
38,東京都世田谷区駒沢三丁目２７番７号,-,㈲ふじみや大平商店,有限会社ふじみや大平商店,03-3421-7001,8世保生食ほ第88号,飲食店営業,令和8年6月1日,令和8年6月1日,令和14年5月31日
39,東京都世田谷区駒沢五丁目１７番１３号,-,ｂｌｕｅ　ｂｌｅｕ　ｂｌｅｕｅ　駒沢公園通り店,有限会社５３ｒｕｅ　ｄｕ　ｃｈｅｒｃｈｅ－ｍｉｄｉ,-,8世保生食ほ第414号,飲食店営業,令和8年6月19日,令和8年6月19日,令和14年6月30日
40,東京都世田谷区深沢五丁目１番１３号,-,レストランバー樹林,***,5706-0737,8世保生食ほ第235号,飲食店営業,令和8年6月1日,令和8年6月1日,令和14年5月31日
41,東京都世田谷区深沢五丁目１５番１０号,-,Ｐｅｔｉｔ　Ｂｏｎｈｅｕｒ,株式会社ブレッドファーム,-,8世保生食ほ第410号,菓子製造業,令和8年6月15日,令和8年6月15日,令和14年6月30日
42,東京都世田谷区深沢五丁目３８番１号,-,東京都立園芸高等学校,東京都,3705-2154,8世保生食ほ第169号,菓子製造業,令和8年6月1日,令和8年6月1日,令和14年5月31日
43,東京都世田谷区深沢七丁目１３番４号,-,心心　Ｋ,Ｊａｐａｎ　Ｇｌｏｂａｌ　Ａｓｓｏｃｉａｔｉｏｎ株式会社,03-5758-8181,8世保生食ほ第365号,飲食店営業,令和8年6月1日,令和8年6月1日,令和14年5月31日
44,東京都世田谷区深沢七丁目１３番４号,-,心心　Ｋ,Ｊａｐａｎ　Ｇｌｏｂａｌ　Ａｓｓｏｃｉａｔｉｏｎ株式会社,03-5758-8181,8世保生食ほ第366号,菓子製造業,令和8年6月1日,令和8年6月1日,令和14年5月31日
45,東京都世田谷区桜新町二丁目１０番３号,奥野ビル１階,とんかつ新宿さぼてん　桜新町店,株式会社グリーンハウスフーズ,03-5450-5470,8世保生食ほ第215号,飲食店営業,令和8年6月1日,令和8年6月1日,令和15年5月31日
46,東京都世田谷区用賀一丁目３番１号,-,トラストガーデン　用賀の杜,株式会社ＬＥＯＣ,03-3705-9173,8世保生食ほ第345号,飲食店営業,令和8年6月4日,令和8年6月4日,令和15年6月30日
47,東京都世田谷区用賀四丁目１１番１０号,地下１階,焼肉　翠苑,株式会社成和,3708-2922,8世保生食ほ第476号,飲食店営業,令和8年6月30日,令和8年6月30日,令和15年6月30日
48,東京都世田谷区用賀四丁目１２番６号,テトラ用賀Ｂ１Ｆ,バーブレンダ,***,6805-7112,8世保生食ほ第496号,飲食店営業,令和8年6月30日,令和8年6月30日,令和14年6月30日
49,東京都世田谷区用賀四丁目１７番４号,ロイヤルビル,フローラ洋菓子店,***,3709-7012,8世保生食ほ第351号,菓子製造業,令和8年6月17日,令和8年6月17日,令和15年6月30日
50,東京都世田谷区用賀四丁目３０番１１号,２Ｆ,ちっちゃなあそびばぁ　Ｌｉｂｅｒｔｙ,***,03-6411-7656,8世保生食ほ第478号,飲食店営業,令和8年6月29日,令和8年6月29日,令和14年6月30日
51,東京都世田谷区上用賀四丁目１６番１１号,２Ｆ,はーとあーすの手作りパン屋さん,社会福祉法人さわやか会,03-6413-0610,8世保生食ほ第296号,飲食店営業,令和8年6月2日,令和8年6月2日,令和15年6月30日
52,東京都世田谷区上用賀四丁目１６番１１号,２Ｆ,はーとあーすの手作りパン屋さん,社会福祉法人さわやか会,03-6413-0610,8世保生食ほ第297号,菓子製造業,令和8年6月2日,令和8年6月2日,令和15年6月30日
53,東京都世田谷区玉川二丁目２１番１号,二子玉川ライズＳ．Ｃ地下１階,玄点＋,ピュアネクサス株式会社,03-6805-0839,8世保生食ほ第290号,飲食店営業,令和8年6月10日,令和8年6月10日,令和15年6月30日
54,東京都世田谷区玉川二丁目２１番１号,二子玉川ライズＳ．Ｃ地下１階,玄点＋,ピュアネクサス株式会社,03-6805-0839,8世保生食ほ第291号,菓子製造業,令和8年6月10日,令和8年6月10日,令和15年6月30日
55,東京都世田谷区玉川二丁目２１番１号,ライズＳ．Ｃ．地下１階,ライズＳ．Ｃ．東急フードショー店　惣菜催事厨房,株式会社東急百貨店,03-6805-7111,8世保生食ほ第358号,飲食店営業,令和8年6月1日,令和8年6月1日,令和15年5月31日
56,東京都世田谷区玉川二丁目２３番１号,二子玉川ライズ・ドッグウッドプラザ８階,北海道小麦パスタ　麦と卵　二子玉川ライズ・ドッグウッドプラザ店,株式会社イーストン,-,8世保生食ほ第491号,飲食店営業,令和8年6月29日,令和8年6月29日,令和15年6月30日
57,東京都世田谷区玉川三丁目７番１８号,南館６Ｆ,恵亭二子玉川店,和幸商事株式会社,03-5491-5313,8世保生食ほ第433号,飲食店営業,令和8年6月29日,令和8年6月29日,令和15年6月30日
58,東京都世田谷区玉川三丁目７番１８号,南館６Ｆ,一香庵,日環テクノサービス株式会社,03-3707-2727,8世保生食ほ第284号,飲食店営業,令和8年6月2日,令和8年6月2日,令和15年6月30日
59,東京都世田谷区玉川三丁目１３番７号,柳小路南角２０２,ふたこビール醸造所,株式会社ふたこ麦麦公社,6411-7125,8世保生食ほ第448号,酒類製造業,令和8年6月18日,令和8年6月18日,令和14年11月30日
60,東京都世田谷区玉川三丁目１７番１号,玉川髙島屋ショッピングセンター本館Ｂ１Ｆ,ＲＦ１　神戸コロッケ　融合　ベジテリア　,株式会社ロック・フィールド,03-5491-2058,8世保生食ほ第254号,飲食店営業,令和8年6月9日,令和8年6月9日,令和15年6月30日
61,東京都世田谷区玉川三丁目１７番１号,髙島屋玉川店本館地下１階,ブッツデリカデッセン・洋食や　三代目たいめいけん,タカラ食品工業株式会社,-,8世保生食ほ第288号,飲食店営業,令和8年6月9日,令和8年6月9日,令和15年6月30日
62,東京都世田谷区玉川三丁目１７番１号,髙島屋玉川店本館地下１階,ブッツデリカデッセン・洋食や　三代目たいめいけん,タカラ食品工業株式会社,-,8世保生食ほ第289号,そうざい製造業,令和8年6月9日,令和8年6月9日,令和15年6月30日
63,東京都世田谷区玉川三丁目１７番１号,-,髙島屋玉川店　本館地下１階　御座候（仮設）,株式会社髙島屋,03-3709-3111,8世保生食ほ第404号,飲食店営業,令和8年6月15日,令和8年6月15日,令和15年6月30日
64,東京都世田谷区玉川三丁目１７番１号,-,髙島屋玉川店　本館地下１階　共同厨房（菊乃井・王朝）,株式会社髙島屋,03-3709-3111,8世保生食ほ第406号,飲食店営業,令和8年6月10日,令和8年6月10日,令和15年6月30日
65,東京都世田谷区玉川三丁目１７番１号,玉川髙島屋　南館Ｂ２　Ｎｏ．８,焼鶏かわしょう,魚河岸川正株式会社,-,8世保生食ほ第425号,飲食店営業,令和8年6月15日,令和8年6月15日,令和15年6月30日
66,東京都世田谷区玉川三丁目２８番２号,ハイツリバーサイド１０５,ロイヤルリカープレジデント株式会社,ロイヤルリカープレジデント株式会社,-,8世保生食ほ第320号,酒類製造業,令和8年6月1日,令和8年6月1日,令和14年5月31日
67,東京都世田谷区上野毛一丁目１３番６号,-,ラ・フィエゾン,***,4296-3949,8世保生食ほ第138号,飲食店営業,令和8年6月1日,令和8年6月1日,令和14年5月31日
68,東京都世田谷区上野毛一丁目１３番６号,-,ラ・フィエゾン,***,4296-3949,8世保生食ほ第139号,菓子製造業,令和8年6月1日,令和8年6月1日,令和14年5月31日
69,東京都世田谷区野毛一丁目１９番２号,-,区立玉川野毛町公園（みどりのエリア）　パークデザインセンター,株式会社自然教育研究センター,-,8世保生食ほ第350号,飲食店営業,令和8年6月29日,令和8年6月29日,令和15年6月30日
70,東京都世田谷区中町四丁目２４番１５号,-,小島屋菊田製菓,***,3701-1910,8世保生食ほ第177号,菓子製造業,令和8年6月1日,令和8年6月1日,令和14年5月31日
71,東京都世田谷区等々力一丁目３２番１８号,-,Ｐｉｌｉｎａ,***,-,8世保生食ほ第427号,菓子製造業,令和8年6月19日,令和8年6月19日,令和14年6月30日
72,東京都世田谷区等々力二丁目１８番１７号,-,キッチンオリジン尾山台店,オリジン東秀株式会社,03-6432-1538,8世保生食ほ第361号,飲食店営業,令和8年6月9日,令和8年6月9日,令和15年6月30日
73,東京都世田谷区尾山台二丁目３２番１０号,アークファイブ尾山台１Ｆ,ちひろ菓子店　尾山台,株式会社ＤＡＤＡＣＡ,03-6432-3644,8世保生食ほ第397号,菓子製造業,令和8年6月15日,令和8年6月15日,令和15年6月30日
74,東京都世田谷区奥沢三丁目３０番６号,ＫＡＫＯＩ　１０７号室,ｉＬｏＨａ　Ｓｔａｎｄ　ｎａｔｕｒａｌ　ｄｅｌｉ,四季菜茶房　合同会社,-,8世保生食ほ第379号,飲食店営業,令和8年6月12日,令和8年6月12日,令和15年6月30日
75,東京都世田谷区奥沢五丁目２４番２号,ＢＬ．ＡＯＫＩ　１Ｆ　１０１号,イレールビス自由が丘,***,03-6421-1600,8世保生食ほ第349号,飲食店営業,令和8年6月1日,令和8年6月1日,令和14年5月31日
76,東京都世田谷区奥沢六丁目３１番１６号,-,焼肉処　漢江,有限会社スタックアップ,3703-4129,8世保生食ほ第258号,飲食店営業,令和8年6月1日,令和8年6月1日,令和14年5月31日
77,東京都世田谷区奥沢六丁目３１番１６号,-,焼肉処　漢江,有限会社スタックアップ,3703-4129,8世保生食ほ第259号,食肉販売業,令和8年6月1日,令和8年6月1日,令和14年5月31日
78,東京都世田谷区奥沢六丁目３３番１４号,もみのきビル２０７Ａ,サンバ　パティオ,大塚産業株式会社,-,8世保生食ほ第325号,飲食店営業,令和8年6月1日,令和8年6月1日,令和14年5月31日
79,東京都世田谷区奥沢八丁目１番２１号,１Ｆ,福風,福風商店株式会社,03-5707-3279,8世保生食ほ第90号,飲食店営業,令和8年6月1日,令和8年6月1日,令和14年5月31日
80,東京都世田谷区奥沢八丁目１番２１号,１Ｆ,福風,福風商店株式会社,03-5707-3279,8世保生食ほ第91号,そうざい製造業,令和8年6月1日,令和8年6月1日,令和14年5月31日
81,東京都世田谷区北沢一丁目４０番１１号,サニーハイマート下北沢１０３号,ＦＥＮＤＥＲ　ＣＡＦＥ　ＳＨＩＭＯＫＩＴＡＺＡＷＡ,ＺＥＮＳＥ株式会社,-,8世保生食ほ第371号,飲食店営業,令和8年6月23日,令和8年6月23日,令和15年6月30日
82,東京都世田谷区北沢一丁目４０番１１号,サニーハイマート下北沢１０３号,ＦＥＮＤＥＲ　ＣＡＦＥ　ＳＨＩＭＯＫＩＴＡＺＡＷＡ,ＺＥＮＳＥ株式会社,-,8世保生食ほ第372号,菓子製造業,令和8年6月23日,令和8年6月23日,令和15年6月30日
83,東京都世田谷区北沢二丁目４番５号,ｍｏｓｉａ　５Ｆ,快活ＣＬＵＢ　下北沢店,株式会社快活フロンティア,5431-0188,8世保生食ほ第130号,飲食店営業,令和8年6月1日,令和8年6月1日,令和15年5月31日
84,東京都世田谷区北沢二丁目９番２１号,１階２階,どてのざわざわ,株式会社リバースコーポレーション,03-5366-2565,8世保生食ほ第137号,飲食店営業,令和8年6月1日,令和8年6月1日,令和14年5月31日
85,東京都世田谷区北沢二丁目９番２５号,城和ビル２Ｆ,ＰＯＯＬ,***,-,8世保生食ほ第324号,飲食店営業,令和8年6月1日,令和8年6月1日,令和14年5月31日
86,東京都世田谷区北沢二丁目１０番２０号,ミカン下北Ｄ２０２,麺　かすみ,株式会社楽観,03-6407-1710,8世保生食ほ第355号,飲食店営業,令和8年6月8日,令和8年6月8日,令和15年6月30日
87,東京都世田谷区北沢二丁目１１番２号,パティオ下北沢３Ｆ,ＳＨＡＫＥ（シャケ）,株式会社ワイケーサポート,3413-1185,8世保生食ほ第202号,飲食店営業,令和8年6月1日,令和8年6月1日,令和15年5月31日
88,東京都世田谷区北沢二丁目１２番３号,石川ビル３０１,ＹＡＴＥ,ＹＡＴＴＭＡＮ合同会社,-,8世保生食ほ第394号,飲食店営業,令和8年6月25日,令和8年6月25日,令和14年6月30日
89,東京都世田谷区北沢二丁目１２番３号,石川ビル３０２,多田バー,***,-,8世保生食ほ第431号,飲食店営業,令和8年6月23日,令和8年6月23日,令和14年6月30日
90,東京都世田谷区北沢二丁目３４番３号,ミドキタ１Ｂ,ｉＳＤＧ麻辣燙　中華房　下北沢店,株式会社医食同源ドットコム,03-6416-8610,8世保生食ほ第374号,飲食店営業,令和8年6月5日,令和8年6月5日,令和15年6月30日
91,東京都世田谷区北沢二丁目３９番１３号,-,もり蕎麦　太田,***,-,8世保生食ほ第109号,飲食店営業,令和8年6月1日,令和8年6月1日,令和15年5月31日
92,東京都世田谷区北沢三丁目７番１号,宇治川ビル１階,イル・トラメッツィーノ,有限会社ヴィネリアＳ．Ｒ．Ｌ,6407-1461,8世保生食ほ第237号,飲食店営業,令和8年6月1日,令和8年6月1日,令和15年5月31日
93,東京都世田谷区北沢三丁目１９番２０号,ｒｅｌｏａｄ１－７区画,ｒｅｌｏａｄ　ＰＯＰＵＰ　ＳＰＡＣＥ　１－７,株式会社ＧＲＥＥＮＩＮＧ,-,8世保生食ほ第393号,漬物製造業,令和8年6月3日,令和8年6月3日,令和15年6月30日
94,東京都世田谷区代沢二丁目３６番２４号,みのりテラス１Ｆ店舗部分,Ｏ,合同会社ＣＡＭＰ,-,8世保生食ほ第375号,飲食店営業,令和8年6月5日,令和8年6月5日,令和14年6月30日
95,東京都世田谷区代沢二丁目３６番３０号,-,あさ家,***,-,8世保生食ほ第274号,飲食店営業,令和8年6月1日,令和8年6月1日,令和14年5月31日
96,東京都世田谷区代沢二丁目３６番３０号,-,あさ家,***,-,8世保生食ほ第275号,食肉販売業,令和8年6月1日,令和8年6月1日,令和14年5月31日
97,東京都世田谷区代沢二丁目３６番３０号,-,あさ家,***,-,8世保生食ほ第276号,魚介類販売業,令和8年6月1日,令和8年6月1日,令和14年5月31日
98,東京都世田谷区代沢三丁目１４番３号,-,金威となり,株式会社ＫＡＭＵＩ,-,8世保生食ほ第348号,飲食店営業,令和8年6月5日,令和8年6月5日,令和15年6月30日
99,東京都世田谷区代沢五丁目３６番１４号,ｓａｎｓａｔｏ１Ｆ,ｓａｎｓａｔｏ,***,03-3419-2305,8世保生食ほ第439号,飲食店営業,令和8年6月30日,令和8年6月30日,令和14年6月30日
100,東京都世田谷区代田五丁目２９番５号,桜井ビル１０１,ラーメン二郎　環七新代田店,***,-,8世保生食ほ第125号,飲食店営業,令和8年6月1日,令和8年6月1日,令和14年5月31日
101,東京都世田谷区代田六丁目１番１７号,-,湘南倶楽部,有限会社エスケイフロンティア,03-3466-2336,8世保生食ほ第93号,飲食店営業,令和8年6月1日,令和8年6月1日,令和14年5月31日
102,東京都世田谷区梅丘一丁目２２番１１号,福井屋ビル１Ｆ,ふかや,***,03-5799-6573,8世保生食ほ第245号,飲食店営業,令和8年6月1日,令和8年6月1日,令和14年5月31日
103,東京都世田谷区豪徳寺一丁目２２番２号,１Ｆ,ほっともっと豪徳寺店,株式会社プレナス,03-3425-2523,8世保生食ほ第313号,飲食店営業,令和8年6月1日,令和8年6月1日,令和15年5月31日
104,東京都世田谷区豪徳寺一丁目４４番８号,レオンズハウス１階,焼き鳥　金兵衛,株式会社金兵衛,-,8世保生食ほ第9号,飲食店営業,令和8年6月5日,令和8年6月5日,令和15年6月30日
105,東京都世田谷区赤堤五丁目３０番１５号,-,樹と葉っぱ　青木産婦人科店,株式会社樹と葉っぱ,-,8世保生食ほ第167号,飲食店営業,令和8年6月1日,令和8年6月1日,令和15年5月31日
106,東京都世田谷区船橋一丁目９番８号,-,蕎楽,有限会社近藤商店,03-3429-9114,8世保生食ほ第104号,飲食店営業,令和8年6月1日,令和8年6月1日,令和14年5月31日
107,東京都世田谷区船橋一丁目１２番１３号,-,中む食堂,***,03-5799-6364,8世保生食ほ第161号,飲食店営業,令和8年6月1日,令和8年6月1日,令和14年5月31日
108,東京都世田谷区船橋一丁目４３番９号,-,ファミリーマート世田谷船橋一丁目店,***,03-5349-1237,8世保生食ほ第386号,飲食店営業,令和8年6月12日,令和8年6月12日,令和15年6月30日
109,東京都世田谷区祖師谷一丁目８番１７号,まるよしビル１Ｆ１１４号,スナック　ハブ,***,-,8世保生食ほ第362号,飲食店営業,令和8年6月4日,令和8年6月4日,令和14年6月30日
110,東京都世田谷区祖師谷一丁目９番６号,-,やきとり平八,***,3484-6348,8世保生食ほ第260号,飲食店営業,令和8年6月1日,令和8年6月1日,令和14年5月31日
111,東京都世田谷区祖師谷一丁目９番９号,-,たい焼きさわ田　祖師谷大蔵店,カタチクリエイト株式会社,03-5349-1205 ,8世保生食ほ第323号,飲食店営業,令和8年6月2日,令和8年6月2日,令和14年6月30日
112,東京都世田谷区祖師谷三丁目３２番１４号,-,やまと家,株式会社大和屋菓子司,3483-1604,8世保生食ほ第246号,菓子製造業,令和8年6月1日,令和8年6月1日,令和15年5月31日
113,東京都世田谷区成城七丁目１８番１３号,-,王府,***,3484-7771,8世保生食ほ第136号,飲食店営業,令和8年6月1日,令和8年6月1日,令和15年5月31日
114,東京都世田谷区鎌田三丁目８番１３号,-,カマタ食堂,株式会社カネダイ岩崎商店,6873-6934,8世保生食ほ第181号,飲食店営業,令和8年6月1日,令和8年6月1日,令和14年5月31日
115,東京都世田谷区粕谷四丁目２０番１８号,-,Ｂｉｔｏ　Ｒｅｓｔａｕｒａｎｔ,有限会社ハウスリメイク,03-6382-9252,8世保生食ほ第367号,飲食店営業,令和8年6月1日,令和8年6月1日,令和15年5月31日
116,東京都世田谷区北烏山七丁目３０番３２号,北烏山ロータリーマンション１０８,クロウ,***,03-5969-9959,8世保生食ほ第95号,飲食店営業,令和8年6月1日,令和8年6月1日,令和15年5月31日
117,東京都世田谷区南烏山五丁目１５番１０号,ＳＫＣビル,スターバックスコーヒー千歳烏山店,スターバックスコーヒージャパン株式会社,03-5314-9961,8世保生食ほ第247号,飲食店営業,令和8年6月1日,令和8年6月1日,令和14年5月31日
118,東京都世田谷区南烏山五丁目１７番１２号,-,坂内、会津喜多方ラーメン　千歳烏山店,有限会社壹番館,5384-5678,8世保生食ほ第216号,飲食店営業,令和8年6月1日,令和8年6月1日,令和14年5月31日
119,東京都世田谷区南烏山五丁目１８番１５号,-,たこ焼　海坊主,合同会社ベストプレパレーション,-,8世保生食ほ第277号,飲食店営業,令和8年6月1日,令和8年6月1日,令和14年5月31日
120,東京都世田谷区南烏山六丁目４番１２号,第５野萩ビルＢ１Ｆ,ビリヤード　アドバンス,***,3300-9838,8世保生食ほ第220号,飲食店営業,令和8年6月1日,令和8年6月1日,令和15年5月31日
121,東京都世田谷区南烏山六丁目２７番１号,ＳＯビル１０１,ｓｕｎ　ｄｅｃｏ,***,-,8世保生食ほ第489号,飲食店営業,令和8年6月30日,令和8年6月30日,令和14年6月30日
122,東京都世田谷区給田三丁目７番１７号,-,ファミリーマートあぶらや給田三丁目,有限会社　あぶらや,03-3300-5805,8世保生食ほ第205号,飲食店営業,令和8年6月1日,令和8年6月1日,令和15年5月31日
